1 1 1  | 3	| 0.770000	Solution (brute): 1 	 | 32	| 0.770000	Solution (vec): 1 	
1 1 1  | 2	| 0.280000	Solution (brute): 1 	 | 30	| 0.280000	Solution (vec): 1 	
1 1 1  | 2	| 0.920000	Solution (brute): 1 	 | 27	| 0.920000	Solution (vec): 1 	
1 1 1  | 3	| 0.920000	Solution (brute): 1 	 | 26	| 0.920000	Solution (vec): 1 	
1 1 1  | 2	| 0.730000	Solution (brute): 1 	 | 22	| 0.730000	Solution (vec): 1 	
2 1 1  | 3	| 0.990000	Solution (brute): 1 	 | 79	| 0.990000	Solution (vec): 1 	
2 1 1  | 2	| 0.030000	Solution (brute): 1 	 | 27	| 0.030000	Solution (vec): 1 	
2 1 1  | 2	| 0.350000	Solution (brute): 1 	 | 29	| 0.350000	Solution (vec): 1 	
2 1 1  | 2	| 0.230000	Solution (brute): 1 	 | 24	| 0.230000	Solution (vec): 1 	
2 1 1  | 1	| 0.070000	Solution (brute): 1 	 | 23	| 0.070000	Solution (vec): 1 	
3 1 1  | 3	| 0.350000	Solution (brute): 1 	 | 31	| 0.350000	Solution (vec): 1 	
3 1 1  | 2	| 0.190000	Solution (brute): 1 	 | 27	| 0.190000	Solution (vec): 1 	
3 1 1  | 2	| 0.070000	Solution (brute): 1 	 | 26	| 0.070000	Solution (vec): 1 	
3 1 1  | 2	| 0.440000	Solution (brute): 1 	 | 28	| 0.440000	Solution (vec): 1 	
3 1 1  | 2	| 0.430000	Solution (brute): 1 	 | 26	| 0.430000	Solution (vec): 1 	
4 1 1  | 2	| 0.800000	Solution (brute): 1 	 | 25	| 0.800000	Solution (vec): 1 	
4 1 1  | 3	| 0.870000	Solution (brute): 1 	 | 23	| 0.870000	Solution (vec): 1 	
4 1 1  | 2	| 0.740000	Solution (brute): 1 	 | 23	| 0.740000	Solution (vec): 1 	
4 1 1  | 2	| 0.280000	Solution (brute): 1 	 | 23	| 0.280000	Solution (vec): 1 	
4 1 1  | 2	| 0.500000	Solution (brute): 1 	 | 24	| 0.500000	Solution (vec): 1 	
5 1 1  | 3	| 0.540000	Solution (brute): 1 	 | 23	| 0.540000	Solution (vec): 1 	
5 1 1  | 3	| 0.560000	Solution (brute): 1 	 | 23	| 0.560000	Solution (vec): 1 	
5 1 1  | 3	| 0.880000	Solution (brute): 1 	 | 23	| 0.880000	Solution (vec): 1 	
5 1 1  | 2	| 0.250000	Solution (brute): 1 	 | 23	| 0.250000	Solution (vec): 1 	
5 1 1  | 2	| 0.870000	Solution (brute): 1 	 | 24	| 0.870000	Solution (vec): 1 	
6 1 1  | 3	| 0.260000	Solution (brute): 1 	 | 25	| 0.260000	Solution (vec): 1 	
6 1 1  | 2	| 0.170000	Solution (brute): 1 	 | 25	| 0.170000	Solution (vec): 1 	
6 1 1  | 2	| 0.280000	Solution (brute): 1 	 | 30	| 0.280000	Solution (vec): 1 	
6 1 1  | 3	| 0.620000	Solution (brute): 1 	 | 35	| 0.620000	Solution (vec): 1 	
6 1 1  | 3	| 0.020000	Solution (brute): 1 	 | 29	| 0.020000	Solution (vec): 1 	
7 1 1  | 3	| 0.830000	Solution (brute): 1 	 | 24	| 0.830000	Solution (vec): 1 	
7 1 1  | 2	| 0.600000	Solution (brute): 1 	 | 24	| 0.600000	Solution (vec): 1 	
7 1 1  | 2	| 0.130000	Solution (brute): 1 	 | 24	| 0.130000	Solution (vec): 1 	
7 1 1  | 2	| 0.130000	Solution (brute): 1 	 | 22	| 0.130000	Solution (vec): 1 	
7 1 1  | 3	| 0.750000	Solution (brute): 1 	 | 23	| 0.750000	Solution (vec): 1 	
8 1 1  | 3	| 0.790000	Solution (brute): 1 	 | 23	| 0.790000	Solution (vec): 1 	
8 1 1  | 2	| 0.780000	Solution (brute): 1 	 | 23	| 0.780000	Solution (vec): 1 	
8 1 1  | 2	| 0.440000	Solution (brute): 1 	 | 22	| 0.440000	Solution (vec): 1 	
8 1 1  | 2	| 0.790000	Solution (brute): 1 	 | 21	| 0.790000	Solution (vec): 1 	
8 1 1  | 2	| 0.680000	Solution (brute): 1 	 | 22	| 0.680000	Solution (vec): 1 	
9 1 1  | 2	| 0.080000	Solution (brute): 1 	 | 23	| 0.080000	Solution (vec): 1 	
9 1 1  | 3	| 0.450000	Solution (brute): 1 	 | 21	| 0.450000	Solution (vec): 1 	
9 1 1  | 2	| 0.180000	Solution (brute): 1 	 | 22	| 0.180000	Solution (vec): 1 	
9 1 1  | 2	| 0.730000	Solution (brute): 1 	 | 23	| 0.730000	Solution (vec): 1 	
9 1 1  | 3	| 0.810000	Solution (brute): 1 	 | 24	| 0.810000	Solution (vec): 1 	
1 2 1  | 3	| 0.810000	Solution (brute): 1 	 | 31	| 0.810000	Solution (vec): 1 	
1 2 1  | 3	| 0.570000	Solution (brute): 1 	 | 27	| 0.570000	Solution (vec): 1 	
1 2 1  | 3	| 0.690000	Solution (brute): 1 	 | 27	| 0.690000	Solution (vec): 1 	
1 2 1  | 2	| 0.180000	Solution (brute): 1 	 | 24	| 0.180000	Solution (vec): 1 	
1 2 1  | 3	| 0.190000	Solution (brute): 1 	 | 40	| 0.190000	Solution (vec): 1 	
2 2 1  | 3	| 0.070000	Solution (brute): 1 	 | 25	| 0.070000	Solution (vec): 1 	
2 2 1  | 3	| 0.750000	Solution (brute): 1 	 | 23	| 0.750000	Solution (vec): 1 	
2 2 1  | 2	| 0.580000	Solution (brute): 1 	 | 23	| 0.580000	Solution (vec): 1 	
2 2 1  | 3	| 0.940000	Solution (brute): 1 	 | 22	| 0.940000	Solution (vec): 1 	
2 2 1  | 2	| 0.930000	Solution (brute): 1 	 | 22	| 0.930000	Solution (vec): 1 	
3 2 1  | 2	| 0.870000	Solution (brute): 1 	 | 23	| 0.870000	Solution (vec): 1 	
3 2 1  | 2	| 0.570000	Solution (brute): 1 	 | 23	| 0.570000	Solution (vec): 1 	
3 2 1  | 3	| 0.500000	Solution (brute): 1 	 | 21	| 0.500000	Solution (vec): 1 	
3 2 1  | 3	| 0.550000	Solution (brute): 1 	 | 22	| 0.550000	Solution (vec): 1 	
3 2 1  | 3	| 0.820000	Solution (brute): 1 	 | 23	| 0.820000	Solution (vec): 1 	
4 2 1  | 2	| 0.460000	Solution (brute): 1 	 | 25	| 0.460000	Solution (vec): 1 	
4 2 1  | 3	| 0.280000	Solution (brute): 1 	 | 21	| 0.280000	Solution (vec): 1 	
4 2 1  | 3	| 0.940000	Solution (brute): 1 	 | 29	| 0.940000	Solution (vec): 1 	
4 2 1  | 2	| 0.900000	Solution (brute): 1 	 | 21	| 0.900000	Solution (vec): 1 	
4 2 1  | 2	| 0.780000	Solution (brute): 1 	 | 21	| 0.780000	Solution (vec): 1 	
5 2 1  | 3	| 0.450000	Solution (brute): 1 	 | 20	| 0.450000	Solution (vec): 1 	
5 2 1  | 3	| 0.830000	Solution (brute): 1 	 | 20	| 0.830000	Solution (vec): 1 	
5 2 1  | 2	| 0.340000	Solution (brute): 1 	 | 19	| 0.340000	Solution (vec): 1 	
5 2 1  | 3	| 0.500000	Solution (brute): 1 	 | 19	| 0.500000	Solution (vec): 1 	
5 2 1  | 2	| 0.960000	Solution (brute): 1 	 | 19	| 0.960000	Solution (vec): 1 	
6 2 1  | 3	| 0.960000	Solution (brute): 1 	 | 20	| 0.960000	Solution (vec): 1 	
6 2 1  | 2	| 0.750000	Solution (brute): 1 	 | 18	| 0.750000	Solution (vec): 1 	
6 2 1  | 3	| 0.890000	Solution (brute): 1 	 | 19	| 0.890000	Solution (vec): 1 	
6 2 1  | 2	| 0.980000	Solution (brute): 1 	 | 19	| 0.980000	Solution (vec): 1 	
6 2 1  | 3	| 0.670000	Solution (brute): 1 	 | 18	| 0.670000	Solution (vec): 1 	
7 2 1  | 3	| 0.960000	Solution (brute): 1 	 | 19	| 0.960000	Solution (vec): 1 	
7 2 1  | 3	| 0.950000	Solution (brute): 1 	 | 19	| 0.950000	Solution (vec): 1 	
7 2 1  | 3	| 0.860000	Solution (brute): 1 	 | 20	| 0.860000	Solution (vec): 1 	
7 2 1  | 3	| 0.820000	Solution (brute): 1 	 | 28	| 0.820000	Solution (vec): 1 	
7 2 1  | 3	| 0.800000	Solution (brute): 1 	 | 23	| 0.800000	Solution (vec): 1 	
8 2 1  | 3	| 0.550000	Solution (brute): 1 	 | 32	| 0.550000	Solution (vec): 1 	
8 2 1  | 2	| 0.320000	Solution (brute): 1 	 | 17	| 0.320000	Solution (vec): 1 	
8 2 1  | 2	| 0.730000	Solution (brute): 1 	 | 16	| 0.730000	Solution (vec): 1 	
8 2 1  | 1	| 0.240000	Solution (brute): 1 	 | 15	| 0.240000	Solution (vec): 1 	
8 2 1  | 2	| 0.980000	Solution (brute): 1 	 | 15	| 0.980000	Solution (vec): 1 	
9 2 1  | 2	| 0.430000	Solution (brute): 1 	 | 15	| 0.430000	Solution (vec): 1 	
9 2 1  | 2	| 0.400000	Solution (brute): 1 	 | 16	| 0.400000	Solution (vec): 1 	
9 2 1  | 3	| 0.390000	Solution (brute): 1 	 | 25	| 0.390000	Solution (vec): 1 	
9 2 1  | 3	| 0.940000	Solution (brute): 1 	 | 24	| 0.940000	Solution (vec): 1 	
9 2 1  | 3	| 0.800000	Solution (brute): 1 	 | 24	| 0.800000	Solution (vec): 1 	
1 3 1  | 3	| 0.890000	Solution (brute): 1 	 | 27	| 0.890000	Solution (vec): 1 	
1 3 1  | 3	| 0.810000	Solution (brute): 1 	 | 24	| 0.810000	Solution (vec): 1 	
1 3 1  | 2	| 0.480000	Solution (brute): 1 	 | 24	| 0.480000	Solution (vec): 1 	
1 3 1  | 3	| 0.850000	Solution (brute): 1 	 | 23	| 0.850000	Solution (vec): 1 	
1 3 1  | 2	| 0.750000	Solution (brute): 1 	 | 22	| 0.750000	Solution (vec): 1 	
2 3 1  | 3	| 0.360000	Solution (brute): 1 	 | 24	| 0.360000	Solution (vec): 1 	
2 3 1  | 3	| 0.440000	Solution (brute): 1 	 | 25	| 0.440000	Solution (vec): 1 	
2 3 1  | 3	| 0.990000	Solution (brute): 1 	 | 30	| 0.990000	Solution (vec): 1 	
2 3 1  | 2	| 0.940000	Solution (brute): 1 	 | 25	| 0.940000	Solution (vec): 1 	
2 3 1  | 3	| 0.850000	Solution (brute): 1 	 | 23	| 0.850000	Solution (vec): 1 	
3 3 1  | 3	| 0.990000	Solution (brute): 1 	 | 24	| 0.990000	Solution (vec): 1 	
3 3 1  | 3	| 0.360000	Solution (brute): 1 	 | 24	| 0.360000	Solution (vec): 1 	
3 3 1  | 3	| 0.990000	Solution (brute): 1 	 | 19	| 0.990000	Solution (vec): 1 	
3 3 1  | 2	| 0.910000	Solution (brute): 1 	 | 19	| 0.910000	Solution (vec): 1 	
3 3 1  | 2	| 0.600000	Solution (brute): 1 	 | 20	| 0.600000	Solution (vec): 1 	
4 3 1  | 2	| 0.850000	Solution (brute): 1 	 | 20	| 0.850000	Solution (vec): 1 	
4 3 1  | 2	| 0.990000	Solution (brute): 1 	 | 19	| 0.990000	Solution (vec): 1 	
4 3 1  | 3	| 0.990000	Solution (brute): 1 	 | 20	| 0.990000	Solution (vec): 1 	
4 3 1  | 3	| 0.980000	Solution (brute): 1 	 | 20	| 0.980000	Solution (vec): 1 	
4 3 1  | 3	| 0.370000	Solution (brute): 1 	 | 20	| 0.370000	Solution (vec): 1 	
5 3 1  | 2	| 0.750000	Solution (brute): 1 	 | 21	| 0.750000	Solution (vec): 1 	
5 3 1  | 2	| 0.460000	Solution (brute): 1 	 | 20	| 0.460000	Solution (vec): 1 	
5 3 1  | 2	| 0.940000	Solution (brute): 1 	 | 20	| 0.940000	Solution (vec): 1 	
5 3 1  | 2	| 0.600000	Solution (brute): 1 	 | 20	| 0.600000	Solution (vec): 1 	
5 3 1  | 5	| 0.870000	Solution (brute): 1 	 | 27	| 0.870000	Solution (vec): 1 	
6 3 1  | 8	| 0.830000	Solution (brute): 1 	 | 52	| 0.830000	Solution (vec): 1 	
6 3 1  | 3	| 0.610000	Solution (brute): 1 	 | 21	| 0.610000	Solution (vec): 1 	
6 3 1  | 4	| 0.780000	Solution (brute): 1 	 | 26	| 0.780000	Solution (vec): 1 	
6 3 1  | 3	| 0.710000	Solution (brute): 1 	 | 20	| 0.710000	Solution (vec): 1 	
6 3 1  | 3	| 0.850000	Solution (brute): 1 	 | 20	| 0.850000	Solution (vec): 1 	
7 3 1  | 3	| 0.810000	Solution (brute): 1 	 | 21	| 0.810000	Solution (vec): 1 	
7 3 1  | 3	| 0.740000	Solution (brute): 1 	 | 20	| 0.740000	Solution (vec): 1 	
7 3 1  | 3	| 0.570000	Solution (brute): 1 	 | 20	| 0.570000	Solution (vec): 1 	
7 3 1  | 3	| 0.800000	Solution (brute): 1 	 | 22	| 0.800000	Solution (vec): 1 	
7 3 1  | 2	| 0.440000	Solution (brute): 1 	 | 21	| 0.440000	Solution (vec): 1 	
8 3 1  | 4	| 0.810000	Solution (brute): 1 	 | 21	| 0.810000	Solution (vec): 1 	
8 3 1  | 4	| 0.790000	Solution (brute): 1 	 | 25	| 0.790000	Solution (vec): 1 	
8 3 1  | 4	| 0.960000	Solution (brute): 1 	 | 25	| 0.960000	Solution (vec): 1 	
8 3 1  | 3	| 0.840000	Solution (brute): 1 	 | 27	| 0.840000	Solution (vec): 1 	
8 3 1  | 5	| 0.780000	Solution (brute): 1 	 | 27	| 0.780000	Solution (vec): 1 	
9 3 1  | 5	| 0.460000	Solution (brute): 1 	 | 28	| 0.460000	Solution (vec): 1 	
9 3 1  | 5	| 0.700000	Solution (brute): 1 	 | 28	| 0.700000	Solution (vec): 1 	
9 3 1  | 5	| 0.280000	Solution (brute): 1 	 | 28	| 0.280000	Solution (vec): 1 	
9 3 1  | 5	| 0.680000	Solution (brute): 1 	 | 31	| 0.680000	Solution (vec): 1 	
