1 1 1  | 1	| 0.400000	Solution (brute): 1 	 | 14	| 0.400000	Solution (old): 1 	
1 1 1  | 2	| 0.510000	Solution (brute): 1 	 | 11	| 0.510000	Solution (old): 1 	
1 1 1  | 2	| 0.490000	Solution (brute): 1 	 | 12	| 0.490000	Solution (old): 1 	
1 1 1  | 1	| 0.540000	Solution (brute): 1 	 | 11	| 0.540000	Solution (old): 1 	
1 1 1  | 1	| 0.750000	Solution (brute): 1 	 | 11	| 0.750000	Solution (old): 1 	
2 1 1  | 2	| 0.190000	Solution (brute): 1 	 | 40	| 0.190000	Solution (old): 1 	
2 1 1  | 2	| 0.250000	Solution (brute): 1 	 | 26	| 0.250000	Solution (old): 1 	
2 1 1  | 3	| 0.270000	Solution (brute): 1 	 | 36	| 0.270000	Solution (old): 1 	
2 1 1  | 2	| 0.170000	Solution (brute): 1 	 | 25	| 0.170000	Solution (old): 1 	
2 1 1  | 3	| 0.740000	Solution (brute): 1 	 | 30	| 0.740000	Solution (old): 1 	
3 1 1  | 2	| 0.050000	Solution (brute): 1 	 | 29	| 0.050000	Solution (old): 1 	
3 1 1  | 3	| 0.090000	Solution (brute): 1 	 | 35	| 0.090000	Solution (old): 1 	
3 1 1  | 2	| 0.520000	Solution (brute): 1 	 | 18	| 0.520000	Solution (old): 1 	
3 1 1  | 2	| 0.110000	Solution (brute): 1 	 | 16	| 0.110000	Solution (old): 1 	
3 1 1  | 2	| 0.410000	Solution (brute): 1 	 | 16	| 0.410000	Solution (old): 1 	
4 1 1  | 2	| 0.920000	Solution (brute): 1 	 | 18	| 0.920000	Solution (old): 1 	
4 1 1  | 2	| 0.180000	Solution (brute): 1 	 | 24	| 0.180000	Solution (old): 1 	
4 1 1  | 2	| 0.710000	Solution (brute): 1 	 | 21	| 0.710000	Solution (old): 1 	
4 1 1  | 3	| 0.490000	Solution (brute): 1 	 | 25	| 0.490000	Solution (old): 1 	
4 1 1  | 2	| 0.440000	Solution (brute): 1 	 | 25	| 0.440000	Solution (old): 1 	
5 1 1  | 2	| 0.100000	Solution (brute): 1 	 | 38	| 0.100000	Solution (old): 1 	
5 1 1  | 3	| 0.350000	Solution (brute): 1 	 | 25	| 0.350000	Solution (old): 1 	
5 1 1  | 3	| 0.640000	Solution (brute): 1 	 | 24	| 0.640000	Solution (old): 1 	
5 1 1  | 2	| 0.170000	Solution (brute): 1 	 | 17	| 0.170000	Solution (old): 1 	
5 1 1  | 2	| 0.750000	Solution (brute): 1 	 | 18	| 0.750000	Solution (old): 1 	
6 1 1  | 3	| 0.130000	Solution (brute): 1 	 | 36	| 0.130000	Solution (old): 1 	
6 1 1  | 2	| 0.180000	Solution (brute): 1 	 | 18	| 0.180000	Solution (old): 1 	
6 1 1  | 2	| 0.570000	Solution (brute): 1 	 | 17	| 0.570000	Solution (old): 1 	
6 1 1  | 1	| 0.080000	Solution (brute): 1 	 | 21	| 0.080000	Solution (old): 1 	
6 1 1  | 3	| 0.180000	Solution (brute): 1 	 | 27	| 0.180000	Solution (old): 1 	
7 1 1  | 3	| 0.150000	Solution (brute): 1 	 | 26	| 0.150000	Solution (old): 1 	
7 1 1  | 2	| 0.250000	Solution (brute): 1 	 | 17	| 0.250000	Solution (old): 1 	
7 1 1  | 2	| 0.330000	Solution (brute): 1 	 | 18	| 0.330000	Solution (old): 1 	
7 1 1  | 2	| 0.200000	Solution (brute): 1 	 | 25	| 0.200000	Solution (old): 1 	
7 1 1  | 3	| 0.820000	Solution (brute): 1 	 | 32	| 0.820000	Solution (old): 1 	
8 1 1  | 3	| 0.640000	Solution (brute): 1 	 | 26	| 0.640000	Solution (old): 1 	
